#metadataBlock	name	dataverseAlias	displayName	blockURI
	MDS_fairagro		MDS_fairagro	
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredAbbreviation	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredAbbreviation	Abbreviation or short name of a variable measured in the dataset.		text	60		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredDescription	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredDescription	The description of a variable measured in the dataset.		text	61		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredURI	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredURI	Reference to a resource (e.g. a terminology concept) representing a variable measured in the dataset.		text	62		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredValue	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredValue	The value of a variable measured in the dataset.		text	63		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredValueURI	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredValueURI	Reference to a resource (e.g. a terminology concept) representing a value of a variable measured in the dataset.		text	64		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredUnit	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredUnit	The unit of a variable measured in the dataset.		text	65		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredUnitURI	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredUnitURI	Reference to a resource (e.g. a terminology concept) representing a unit of a variable measured in the dataset.		text	66		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredMeasurementTechnique	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredMeasurementTechnique	The technique used to measure a variable measured in the dataset.		text	67		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
	MDS_fairagro.geographic	MDS_fairagro.geographic	A set of geographic metadata		none	68		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		MDS_fairagro
	MDS_fairagro.geographic.geographicCoverage	MDS_fairagro.geographic.geographicCoverage	Information on the geographic coverage of the data. Includes the total geographic scope of the data.		none	69		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.geographic	MDS_fairagro
	MDS_fairagro.geographic.geographicCoverage.city	MDS_fairagro.geographic.geographicCoverage.city	The name of the city that the Dataset is about. Use GeoNames for correct spelling and avoid abbreviations.		text	70		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.geographic.geographicCoverage	MDS_fairagro
	MDS_fairagro.geographic.geographicCoverage.country	MDS_fairagro.geographic.geographicCoverage.country	The country or nation that the Dataset is about.		text	71		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.geographic.geographicCoverage	MDS_fairagro
	MDS_fairagro.geographic.geographicCoverage.state	MDS_fairagro.geographic.geographicCoverage.state	The state or province that the Dataset is about. Use GeoNames for correct spelling and avoid abbreviations.		text	72		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.geographic.geographicCoverage	MDS_fairagro
	MDS_fairagro.geographic.geographicBoundingBox	MDS_fairagro.geographic.geographicBoundingBox	'The fundamental geometric description for any Dataset that models geography is the geographic bounding box. It describes the minimum box, defined by west and east longitudes and north and south latitudes, which includes the largest geographic extent of the  Dataset''s geographic coverage. This element is used in the first pass of a coordinate-based search. Inclusion of this element in the codebook is recommended, but is required if the bound polygon box is included.'		none	73		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.geographic	MDS_fairagro
	MDS_fairagro.geographic.geographicBoundingBox.westLongitude	MDS_fairagro.geographic.geographicBoundingBox.westLongitude	Westernmost coordinate delimiting the geographic extent of the Dataset. A valid range of values,  expressed in decimal degrees, is -180.0 <= West  Bounding Longitude Value <= 180.0.		text	74		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.geographic.geographicBoundingBox	MDS_fairagro
	MDS_fairagro.geographic.geographicBoundingBox.eastLongitude	MDS_fairagro.geographic.geographicBoundingBox.eastLongitude	Easternmost coordinate delimiting the geographic extent of the Dataset. A valid range of values,  expressed in decimal degrees, is -180.0 <= East Bounding Longitude Value <= 180.0.		text	75		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.geographic.geographicBoundingBox	MDS_fairagro
	MDS_fairagro.geographic.geographicBoundingBox.northLatitude	MDS_fairagro.geographic.geographicBoundingBox.northLatitude	Northernmost coordinate delimiting the geographic extent of the Dataset. A valid range of values,  expressed in decimal degrees, is -90.0 <= North Bounding Latitude Value <= 90.0.		text	76		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.geographic.geographicBoundingBox	MDS_fairagro
	MDS_fairagro.geographic.geographicBoundingBox.southLatitude	MDS_fairagro.geographic.geographicBoundingBox.southLatitude	Southernmost coordinate delimiting the geographic extent of the Dataset. A valid range of values,  expressed in decimal degrees, is -90.0 <= South Bounding Latitude Value <= 90.0.		text	77		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.geographic.geographicBoundingBox	MDS_fairagro
	MDS_fairagro.crop	MDS_fairagro.crop	A set of metadata describing crops.		none	78		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		MDS_fairagro
	MDS_fairagro.crop.crop	MDS_fairagro.crop.crop	A crop entity represents a sample of a speficic plant or group of plants, sharing the same taxonomic species, that are described in a dataset.		none	79		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.crop	MDS_fairagro
	MDS_fairagro.crop.crop.cropSpecies	MDS_fairagro.crop.crop.cropSpecies	Taxonomic crop species that is part of the dataset.		text	80		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.crop.crop	MDS_fairagro
	MDS_fairagro.crop.crop.cropSpeciesURI	MDS_fairagro.crop.crop.cropSpeciesURI	Reference to a resource (e.g. a terminology concept) representing a crop species that is part of the dataset.		text	81		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.crop.crop	MDS_fairagro
	MDS_fairagro.crop.crop.cropVariety	MDS_fairagro.crop.crop.cropVariety	A plant variety that is part of the dataset and that is a member of a defined group of plants, selected from within a species, with a common set of characteristics.		text	82		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.crop.crop	MDS_fairagro
	MDS_fairagro.crop.crop.cropVarietyURI	MDS_fairagro.crop.crop.cropVarietyURI	Reference to a resource (e.g. a terminology concept) representing a crop variety that is part of the dataset.		text	83		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.crop.crop	MDS_fairagro
	MDS_fairagro.crop.crop.cropSowingDate	MDS_fairagro.crop.crop.cropSowingDate	Date of sowing when the described crop was planted.		text	84		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.crop.crop	MDS_fairagro
	MDS_fairagro.crop.crop.cropHarvestingDate	MDS_fairagro.crop.crop.cropHarvestingDate	Date when the described crop was harvested.		text	85		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.crop.crop	MDS_fairagro
	MDS_fairagro.crop.crop.cropPestName	MDS_fairagro.crop.crop.cropPestName	Name of a pest (e.g. insects, fungi, microorganisms) that has affected a crop.		text	86		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.crop.crop	MDS_fairagro
	MDS_fairagro.crop.crop.cropPestURI	MDS_fairagro.crop.crop.cropPestURI	Reference to a resource (e.g. a terminology concept) representing a pest that is part of the dataset.		text	87		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.crop.crop	MDS_fairagro
	MDS_fairagro.soil	MDS_fairagro.soil	A set of metadata describing soils.		none	88		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		MDS_fairagro
	MDS_fairagro.soil.soil	MDS_fairagro.soil.soil	A soil entity represents a speficic soil sample, that is described in a dataset, representative for a bigger unit of land.		none	89		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.soil	MDS_fairagro
	MDS_fairagro.soil.soil.soilTexture	MDS_fairagro.soil.soil.soilTexture	Indication of relative contents of particles in the soil described in the dataset.		text	90		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil	MDS_fairagro
	MDS_fairagro.soil.soil.soilTextureURI	MDS_fairagro.soil.soil.soilTextureURI	Reference to a resource (e.g. a terminology concept) representing a soil texture that is part of the dataset.		text	91		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil	MDS_fairagro
	MDS_fairagro.soil.soil.soilReferenceGroup	MDS_fairagro.soil.soil.soilReferenceGroup	Reference Soil Groups are distinguished by the presence (or absence) of specific diagnostic horizons, properties and/or materials.		text	92		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil	MDS_fairagro
	MDS_fairagro.soil.soil.soilReferenceGroupURI	MDS_fairagro.soil.soil.soilReferenceGroupURI	Reference to a resource (e.g. a terminology concept) representing a soil reference group that is part of the dataset.		text	93		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil	MDS_fairagro
	MDS_fairagro.soil.soil.soilPH	MDS_fairagro.soil.soil.soilPH	Hydrogen ion concentration in the soil.		text	94		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil	MDS_fairagro
	MDS_fairagro.soil.soil.soilBulkDensity	MDS_fairagro.soil.soil.soilBulkDensity	The mass of material particles divided by the bulk volume in g/cm³.		text	95		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil	MDS_fairagro
	MDS_fairagro.soil.soil.soilDepth	MDS_fairagro.soil.soil.soilDepth	The depth at which a sample of soil is collected during a soil sampling process in centimeters.		none	96		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil	MDS_fairagro
	MDS_fairagro.soil.soil.soilDepth.soilTopDepth	MDS_fairagro.soil.soil.soilDepth.soilTopDepth	The top depth at which a sample of soil is collected during a soil sampling process.		text	97		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil.soilDepth	MDS_fairagro
	MDS_fairagro.soil.soil.soilDepth.soilBottomDepth	MDS_fairagro.soil.soil.soilDepth.soilBottomDepth	The bottom depth at which a sample of soil is collected during a soil sampling process.		text	98		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.soil.soil.soilDepth	MDS_fairagro
